------------------------------------------------------------------------

_Search parameters_:
Nucleus:39K

------------------------------------------------------------------------

A  	Element	A  	N  	Energy    	Unc     	JPi               	T1/2 (txt)               
39 	K      	19 	20 	5157      	        	                  	                         	2343      	        	          	        	          	        	          	          	        
39 	K      	19 	20 	5163.9    	0.3     	9/2-              	55 FS 9                  	643.73    	0.15    	38.7      	1.8     	M1(+E2)   	-0.02   	0.05      	          	        
39 	K      	19 	20 	5163.9    	0.3     	9/2-              	55 FS 9                  	1220.3    	0.2     	100       	3       	M1(+E2)   	-0.01   	0.01      	          	        
39 	K      	19 	20 	5163.9    	0.3     	9/2-              	55 FS 9                  	1037.7    	0.2     	42.1      	2.2     	M1+E2     	-0.03   	0.02      	          	        
39 	K      	19 	20 	5165.5    	0.5     	(5/2,7/2,9/2)-    	190 FS 10                	2351.5    	0.3     	100       	        	M1+E2     	        	          	          	        
39 	K      	19 	20 	5173.4    	0.8     	(1/2,3/2,5/2)     	15 FS 6                  	5173.7    	1.3     	100       	        	          	        	          	          	        
39 	K      	19 	20 	5262.7    	0.7     	5/2+              	1.3 FS 0.2               	5263.8    	1.3     	100       	        	M1+E2     	-0.7    	0.3       	          	        
39 	K      	19 	20 	5318.2    	0.9     	3/2+              	1.4 FS 0.2               	5319.2    	1.3     	100       	        	M1,E2     	        	          	          	        
39 	K      	19 	20 	5354.0    	0.2     	11/2-             	95 FS 30                 	1409.79   	0.11    	100       	        	M1(+E2)   	+0.03   	0.07      	          	        
39 	K      	19 	20 	5501.9    	0.3     	7/2-              	35 FS 20                 	2687.4    	0.7     	24        	6       	          	        	          	          	        
39 	K      	19 	20 	5501.9    	0.3     	7/2-              	35 FS 20                 	823.1     	0.2     	100       	4       	M1(+E2)   	-0.02   	0.06      	          	        
39 	K      	19 	20 	5501.9    	0.3     	7/2-              	35 FS 20                 	1905.5    	0.4     	65        	4       	M1+E2     	-0.26   	0.06      	          	        
39 	K      	19 	20 	5501.9    	0.3     	7/2-              	35 FS 20                 	981.9     	0.3     	14        	4       	          	        	          	          	        
39 	K      	19 	20 	5597.9    	1.3     	5/2+              	2.0 FS 0.2               	2580      	        	          	        	          	        	          	          	        
